14416,3117
9584,8456
7632,17111
8498,9843
12279,12220
5677,7773
9094,16463
8829,962
16750,16616
13300,9811
6373,16796
13300,14415
293,2282
4177,15213
12249,4181
13300,12642
5372,6890
14729,6926
10289,14553
8888,16281
12750,10301
12750,5094
11827,5776
5996,15160
8796,6651
6129,14475
15053,4869
5008,13210
121,1490
11601,4601
14049,10301
13096,13794
5677,8665
15496,16207
18099,11317
16065,17521
5088,4396
15584,14137
2902,14169
4971,17104
9454,5010
4553,16511
10455,3313
15663,3509
10426,16281
1438,15188
16397,8796
10213,1295
10790,16515
2624,15521
14944,10937
9691,3731
11776,3976
13076,3117
10790,16359
12033,16160
7429,13014
10396,14863
4682,885
8435,18192
1607,13458
5677,8190
13340,8790
1108,5461
3349,17714
6594,1724
13672,969
9691,14551
12681,9419
12339,8297
8208,14025
9581,13468
11804,5400
2759,1923
12464,11837
16728,2146
14393,12176
8599,5669
204,12809
17798,10755
15239,11532
14498,17947
14393,7770
2721,18241
14555,6940
5803,17682
443,11358
9776,14729
10528,1289
12924,4001
10391,16995
4075,15967
12792,18347
9356,8499
13300,6841
8613,15966
4993,3532
8849,14072
11670,4085
14293,9656
6715,12051
4562,7536
17361,16752
2624,2202
764,14501
3952,18215
2480,14392
17798,14737
11894,7578
11674,15966
14726,7773
300,2877
12326,7023
12581,11631
3441,9670
14726,3364
14248,7358
13300,8322
7671,4601
9463,12631
10255,6520
14025,13516
11427,4949
7992,14508
6713,3992
12687,18451
10722,10068
8208,13643
6473,3819
11500,18281
15245,13794
17236,13077
3013,14801
6708,4413
17362,8038
9270,4471
10250,8010
13336,13451
3258,9419
2554,9868
2709,6788
8556,9335
9463,8214
14049,10301
4293,7769
215,7929
1181,8191
14393,8527
13525,3136
13300,701
210,14539
8942,7274
15377,15658
10005,3561
12750,6473
654,1219
10871,2187
7456,3432
8675,13278
9550,8796
18139,11309
2402,17796
6872,14893
7939,3837
15329,7954
11156,12201
1999,3059
7403,5602
10391,13300
13300,7827
12351,29
6453,14160
13440,13993
4075,13045
8556,15966
5770,5866
2393,738
3167,14334
4860,1127
17092,15078
12660,4601
9581,15578
11827,5010
9166,15966
6922,9577
2624,2777
4924,4154
5066,760
6162,10554
11755,14561
13524,12710
3257,18358
9108,8710
10255,14243
12604,4900
9581,4610
6222,11423
13415,13643
1716,962
4066,5537
1247,7271
14440,9198
5372,9198
16167,3630
4224,856
3551,2515
10384,2864
1183,15366
1577,10854
13256,9392
5918,10826
7857,95
6643,13110
5996,2167
2480,14419
7556,790
3551,8653
2494,14146
18099,3117
18464,234
14555,2468
10213,4140
14939,5776
13646,6848
13256,14392
9108,6638
8544,9811
16634,15966
11594,11734
9463,7519
12750,10884
10391,9942
6789,352
7635,11837
9691,7055
9322,16003
8208,17092
3322,11827
8005,9511
3630,9944
18099,3865
12750,16969
764,4590
